"src_latitude","src_longitude","n"
"24.074","120.5384","10353785"
"29.851","112.6568","493885"
"55.0425","59.04","937465"
"37.2744","9.8739","49814"
"-6.8048","110.8405","2777494"
"-6.7063","108.557","1444967"
"22.6333","110.15","205750"
"37.4236","-122.1619","150993"
"33.3575","120.1573","877815"
"14.0433","100.64","1353704"
"50.3441","83.5129","1982575"
"18.3333","105.9","4061171"
"19.0368","73.0158","3765995"
"57.01","61.45","1159315"
"42.6","-5.5703","210436"
"46.1167","20.05","57249"
"-29.6833","-53.8","911993"
"23.9611","120.5721","1242297"
"42.0106","20.9714","134791"
"10.25","105.6","43342"
"-22.1437","-54.8047","506334"
"32.6044","-94.8491","20256"
"38.418","43.2365","117017"
"35.7612","139.6987","2833"
"64.1432","-21.9466","272950"
"34.0121","-117.6883","292669"
"-24.7268","-53.2333","42455"
"-7.4214","109.2344","58685"
"42.3007","-71.4255","7277"
"-2.7333","-78.8333","659"
"-19.7414","-44.3231","137271"
"37.4094","127.1107","14581"
"-25.7268","-53.7286","866895"
"38.2634","-85.673","814"
"14.6083","102.6917","29362"
"16.7667","107.1833","1102576"
"37.4897","71.553","99003"
"40.666","16.6046","1226"
"32.5622","-86.0994","1049"
"-23.0303","-46.9707","1"
"36.0458","113.0442","231201"
"29.1408","113.1111","1494627"
"25.5251","69.0159","3389"
"37.0385","30.6918","16638"
"27.8201","-82.7308","10664"
"-32.8167","-60.7167","80"
"22.3833","114.1833","131391"
"47.2313","39.7233","248054"
"51.9322","-0.4568","2208"
"38.6415","-121.5114","3624"
"37.6476","-3.9085","36"
"-2.1208","106.1125","61576"
"35.9182","-79.0035","61"
"30.6604","-87.0473","468442"
"38.3838","140.2675","5021"
"31.0505","-84.8801","1543"
"10.5743","105.2401","14286"
"57.7312","12.0699","676"
"49.75","16.2667","12"
"33.4306","-111.9256","398279"
"15.4","74.0167","57841"
"35.9188","-81.5403","964752"
"55.7556","60.7028","245794"
"54.6815","25.3024","725"
"21.8333","76.3333","2545"
"21.7667","105.75","43751"
"48.6286","6.2967","9"
"-29.5421","-52.2196","157965"
"36.328","9.1361","5932"
"51.8657","-2.2431","3106"
"-23.0867","-47.209","210158"
"52.6542","-7.2522","15"
"50.05","14.4","19607"
"45.6262","-61.3171","2220"
"48.4993","-123.4003","2280"
"44.9946","10.8597","163120"
"21.2383","-86.8675","6792"
"36.0383","-115.1446","3477"
"13.1081","2.3597","2437"
"39.9906","116.2887","45382"
"38.8425","-76.9222","123"
"45.7833","24.0333","254"
"41.581","1.6172","1945"
"28.2102","76.8606","95616"
"-28.0844","-49.2012","162591"
"34.7081","135.4993","3078"
"-7.4387","-62.3248","3491"
"10.4666","-84.6639","183"
"39.4493","-123.3679","174"
"42.9981","21.9461","63000"
"35.1655","112.031","94"
"-25.4382","-50.0803","1261"
"-20.7259","-49.1641","462"
"51.1006","17.0375","60"
"40.6704","-73.6981","2285"
"35.0528","-82.054","100"
"35.5172","139.4107","4"
"22.3333","114.2","813"
"35.9333","140.0","114"
"-25.7","-52.7333","23"
"31.716","35.7939","184329"
"33.0287","-96.6826","5665"
"-20.454","-45.0881","117"
"34.3167","132.5667","205"
"48.0482","10.8828","11"
"-34.2497","-59.4695","8296"
"-33.4","-70.7333","5270"
"-16.1751","-40.6984","344"
"44.1167","24.9833","40"
"-23.4507","-46.5262","508"
"-28.3854","-49.4672","4593"
"-33.8614","151.1705","74470"
"-22.3738","-49.5543","8"
"46.2317","27.6691","853"
"35.4446","133.0541","24"
"51.7507","19.3217","146"
"47.3","17.95","18935"
"-18.1361","-40.261","2261"
"35.4195","139.5317","9"
"43.321","-3.0206","41"
"45.9203","19.7631","91710"
"37.357","140.3562","93"
"48.2077","16.3705","717"
"41.3548","-8.7434","93"
"50.0436","19.9794","36"
"18.5244","98.9386","2254"
"44.5081","25.9822","166"
"44.1181","43.4028","3845"
"39.8581","-4.0226","2594"
"-5.0667","-56.35","60"
"33.6425","-117.8417","845"
"56.6431","9.7903","260"
"54.7915","9.4673","20"
"45.5613","10.1145","145"
"-8.2333","-63.3667","512"
"38.9523","-94.7395","57945"
"49.0246","11.9613","6"
"-21.718","-48.0157","8199"
"39.4031","141.1829","115"
"49.9392","19.3354","4"
"39.0554","-119.8059","2"
"42.6403","125.5118","846"
"36.842","-119.6578","87"
"35.7043","139.6977","1694"
"35.3451","139.9454","70728"
"45.3015","10.2098","1633"
"22.0667","78.9333","5769"
"37.7719","-97.3175","4"
