closing_store,city,st
Northway Mall,Anchorage,AK
Merchants Cove Sc,Foley,AL
Loop Sc,Mobile,AL
Shops At West,Bessemer,AL
Decatur Mall,Decatur,AL
University Mall,Tuscaloosa,AL
Quintard Mall,Oxford,AL
1518 S Caraway Rd,Jonesboro,AR
Arkansas Shopping Center,Hope,AR
Berryville Center,Berryville,AR
Twin City Shpg Cntr,West Helena,AR
Porters Common Shopping Center,Blytheville,AR
4316 Camp Robinson Rd,North Little Rock,AR
Hot Springs Mall,Hot Springs National,AR
Park Plaza Mall,Little Rock,AR
Valley Park Center,Russellville,AR
2212 N Washington Street,Forrest City,AR
3115 Harrison,Batesville,AR
Ozark Mall Outlot,Harrison,AR
5122 N 95Th Ave,Glendale,AZ
108 N Morley Ave,Nogales,AZ
Tuscano Towne Center,Phoenix,AZ
Metro Center,Phoenix,AZ
Foothills Center,Phoenix,AZ
Plaza Vista Mall,Sierra Vista,AZ
Menlo Park Sc,Tucson,AZ
Country Club Plaza,Sacramento,CA
East County Square,El Cajon,CA
1077 W Highland Ave,San Bernardino,CA
2048 Story Rd,San Jose,CA
1201 Columbus St,Bakersfield,CA
600 Redwood St,Vallejo,CA
455 W Willow St,Long Beach,CA
Ceres Plaza Shopping Center,Modesto,CA
Brea Union Plaza,Brea,CA
Page Plaza,Hemet,CA
Garden Grove Pavilion,Garden Grove,CA
Wal Mart Center,Huntington Beach,CA
Sherwood Shopping Plaza,Bell Gardens,CA
Bristol Place,Santa Ana,CA
Manchester Center,Fresno,CA
Del Amo Fashion Center,Torrance,CA
16 W Birch St,Calexico,CA
Rosemead Plaza,Rosemead,CA
434 E Charter Way,Stockton,CA
Florin Towne Center,Sacramento,CA
Clinging Vine Sc,Los Angeles,CA
Los Banos Creek Shopping Center,Los Banos,CA
Fulton Mall,Fresno,CA
10181 Magnolia Ave,Riverside,CA
2602 N Broadway,Los Angeles,CA
11934 Garvey Ave,El Monte,CA
Border Plaza,San Ysidro,CA
The Place On 47Th Street,Palmdale,CA
Target Center,Orange,CA
Hilltop Mall,Richmond,CA
Citrus Crossing,Azusa,CA
3235 N First,Fresno,CA
Shops At River Walk,Bakersfield,CA
Bristol Marketplace,Santa Ana,CA
Palmdale Promenade,Palmdale,CA
Westfield Valencia,Valencia,CA
Corona Hills Marketplace,Corona,CA
Target Fullerton Sc,Fullerton,CA
Yreka Junction,Yreka,CA
Crescent City Center,Crescent City,CA
Plaza Pacifica,San Clemente,CA
El Super Center,Wilmington,CA
1570 W Foothill Blvd,Upland,CA
Shasta Factory Outlets,Anderson,CA
Watsonville Square,Watsonville,CA
20829 Ventura Blvd,Woodland Hills,CA
Muir Station,Martinez,CA
Five Cities Center,Arroyo Grande,CA
Encinitas Ranch Town Center,Encinitas,CA
High Plains Sc,Sterling,CO
Creekside Sc,Lakewood,CO
Marketplace At Northglenn,Northglenn,CO
Waterbury Plaza,Waterbury,CT
Jordan Lane Shopping Center,Wethersfield,CT
Sand Hill Plaza,Newtown,CT
Old Saybrook Shopping Center,Old Saybrook,CT
Strawberry Hill S/C,Norwalk,CT
6431 Georgia Ave,Washington,DC
Good Hope Marketplace Sc,Washington,DC
535 Pine Island Rd,North Fort Myers,FL
Perry Plaza,Perry,FL
33497 S Dixie Hwy,Florida City,FL
Manor Plaza,Fort Lauderdale,FL
7414 University Blvd,Winter Park,FL
Silver Hills S/C,Orlando,FL
Lake Fredrica Shopping Center,Orlando,FL
Royal Eagle Plaza,Pompano Beach,FL
Panama City Mall,Panama City,FL
Sawgrass Mills,Sunrise,FL
8201 N Dale Mabry Hwy,Tampa,FL
Tamiami Trails Shops,Miami,FL
West Oaks Mall,Ocoee,FL
Sand Lake Corners,Orlando,FL
Shoppes Of Liberty City,Miami,FL
Harbor Shops,Fort Lauderdale,FL
Pembroke Commons Sc,Pembroke Pines,FL
Savannah Mall,Savannah,GA
Delk Spectrum Shopping Center,Marietta,GA
Dublin Shopping Center,Dublin,GA
North Lake Mall,Atlanta,GA
Stockbridge Corners,Stockbridge,GA
Kukui Marketplace,Lihue,HI
Kona Coast Shopping Center,Kailua Kona,HI
Citicentre Plaza,Carroll,IA
Kimberly Commons,Davenport,IA
Rockton Shopping Center,Rockford,IL
Hickory Point Mall,Forsyth,IL
4111 N Vermilion,Danville,IL
Scottsdale S/C,Chicago,IL
Fountain Square,Waukegan,IL
